"last_name, first_name",pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_splitter,active_spin_curve,active_spin_slider,active_spin_sweeper,active_spin_slurve
"Ashcraft, Graham",R,,55.8,57.3,73.7,,,31.1,,
"Funderburk, Kody",L,,80.5,58.5,,,,53.3,,
"Castillo, Diego",R,,78.8,,,,,16.8,,
"McArthur, James",R,,90.2,,,,79.2,13.2,,
"Peguero, Elvis",R,,94.7,,,,,22.2,,
"Holderman, Colin",R,,80.7,41.3,,,,,37,
"Koenig, Jared",L,,79.9,49.4,,,80.7,,,
"Bowman, Matt",R,,89.2,59.9,,82.8,,,56.5,
"Ashby, Aaron",L,,84.1,,76.1,,82.8,44.6,,
"Maldonado, Anthony",R,,97.1,,,,,21.3,,
"Faucher, Calvin",R,,89.3,22.6,,,70.2,,64.3,
"Bender, Anthony",R,,79.2,,84.6,,,,46.2,
"Emanuel, Kent",L,,79.8,,84.1,,,,58.9,
"Grove, Michael",R,,87.3,66,,,79.6,31.8,,
"Ramirez, Nick",L,,79.6,,99.3,,,,49.6,
"Hjelle, Sean",R,,78.1,59.7,,,53.6,,,
"Walker, Ryan",R,,71.4,,,,,57.7,,
"Doval, Camilo",R,,63.9,68.4,,,,29.1,,
"King, John",L,,81.1,,95.3,,,24.7,,
"Rogers, Tyler",R,,67.9,,,,,55.2,,
"Roupp, Landen",R,,90.2,,85.9,,89.3,49.5,,
"Rogers, Taylor",L,,87.2,,,,,,61.1,
"Matz, Steven",L,,99.6,,82,,80.7,32.2,,
"Jefferies, Daulton",R,,96.1,73.7,97.5,,,28.6,,
"Uribe, Abner",R,,69.9,,,,,34.7,,
"Maton, Phil",R,,,55.6,,,96.3,35.9,56.1,
"Hader, Josh",L,,98.6,,,,,15.6,,
"Kelly, Kevin",R,,82,45,,,,,74.3,
"Woodford, Jake",R,,76.4,38.3,99.3,,,,47.4,
"Fedde, Erick",R,,73.5,53.1,69.1,,,,41.8,
"Quantrill, Cal",R,,99,33.5,96.2,93.7,32.3,,,
"Lawrence, Justin",R,,76.1,,,,,,51.7,
"Fernandez, Ryan",R,,98.2,54.8,,,,21.5,,
"Ramírez, Erasmo",R,,86.4,68.9,89.8,,29.9,,,
"Bird, Jake",R,,85.2,51.1,,,80,56.9,,
"Blach, Ty",L,,99.3,20.1,99.7,,52.8,,,
"Little, Brendon",L,,76.7,36.7,,,76.9,,,
"Clase, Emmanuel",R,,,62.3,,,,39.2,,
"Chavez, Jesse",R,,93.5,68.9,97.4,,81.1,,,
"Leiter Jr., Mark",R,,90,50.7,,86,95.8,,52.3,
"Robertson, David",R,,85.9,74.9,86.5,,65.8,51.2,,
"Alvarado, José",L,,96.8,50.9,,,,,,
"Smyly, Drew",L,,99.3,,,,37.6,,,
"Bernardino, Brennan",L,,77.6,33,,,61.1,20.1,,
"Whitlock, Garrett",R,,98.7,36.9,93.1,,,42.5,62.8,
"Rodríguez, Joely",L,,90,,97.5,,,,57.4,
