year,"last_name, first_name",pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2024,"Harrison, Kyle",690986,Giants,SF,L,92.7,774,1238,17.942028985507246,0.6252019386106623,FF,4-Seam Fastball,21,-17.8,-3.2,-18,14.6,-10.4,4.2,40,0.068527919,0.9263959390862944
2024,"Greene, Hunter",668881,Reds,CIN,R,97.6,753,1327,19.514705882352942,0.5674453654860587,FF,4-Seam Fastball,11.8,-12.5,0.7,6,8.7,-7.6,1.1,15,0.6675126903553299,0.6091370558375635
2024,"Crochet, Garrett",676979,White Sox,CWS,L,96.8,718,1334,19.057142857142857,0.5382308845577212,FF,4-Seam Fastball,13.3,-12.7,-0.6,-5,7.9,-6.9,1.1,15,0.38578680203045684,0.6091370558375635
2024,"Rodón, Carlos",607074,Yankees,NYY,L,95.4,706,1321,18.6056338,0.534443603,FF,4-Seam Fastball,12.5,-13.7,1.2,9,8.5,-7.1,1.4,20,0.7766497461928934,0.6725888324873096
2024,"Gil, Luis",661563,Yankees,NYY,R,96.5,680,1228,17.295774647887324,0.5537459283387622,FF,4-Seam Fastball,12,-13.4,1.4,11,5.3,-7.5,-2.2,-30,0.8223350253807107,0.18274111675126903
2024,"Gore, MacKenzie",669022,Nationals,WSH,L,96.5,673,1234,18.147058823529413,0.5453808752025932,FF,4-Seam Fastball,11.4,-13.1,1.7,13,5.5,-7.2,-1.8,-24,0.8578680203045685,0.233502538
2024,"Glasnow, Tyler",607192,Dodgers,LAD,R,96.3,660,1311,18.728571428571428,0.5034324942791762,FF,4-Seam Fastball,12.8,-13,0.2,1,0.3,-6.1,-5.8,-94,0.565989848,0.032994924
2024,"Cortes, Nestor",641482,Yankees,NYY,L,91.7,657,1378,19.408450704225352,0.476777939,FF,4-Seam Fastball,13.5,-16,2.4,15,4.7,-7.1,-2.4,-33,0.9543147208121827,0.17258883248730963
2024,"Abbott, Andrew",671096,Reds,CIN,L,92.8,656,1204,17.705882352941178,0.5448504983388704,FF,4-Seam Fastball,15.5,-15.6,0.1,1,8.5,-7.2,1.3,18,0.5329949238578681,0.6522842639593909
2024,"Peralta, Freddy",642547,Brewers,MIL,R,94.4,652,1221,17.955882352941178,0.533988534,FF,4-Seam Fastball,14,-15.6,1.7,11,6.4,-8.5,-2.1,-25,0.8578680203045685,0.19035532994923857
2024,"Ryan, Joe",657746,Twins,MIN,R,94,628,1306,18.92753623188406,0.48085758039816234,FF,4-Seam Fastball,16.9,-17.1,0.2,1,11.7,-10.6,1.1,11,0.565989848,0.6091370558375635
2024,"Castillo, Luis",622491,Mariners,SEA,R,95.4,626,1354,19.070422535211268,0.4623338257016248,FF,4-Seam Fastball,17.5,-17.2,-0.3,-2,11.8,-11.1,0.6,6,0.43908629441624364,0.5431472081218274
2024,"Hicks, Jordan",663855,Giants,SF,R,94.8,623,1218,17.652173913043477,0.5114942528735632,SI,Sinker,24.5,-21.7,2.8,13,16.1,-15.1,1,7,0.8483754512635379,0.6750902527075813
2024,"Paxton, James",572020,Dodgers,LAD,L,93.4,623,1011,14.442857142857143,0.6162215628090999,FF,4-Seam Fastball,17.4,-15,-2.4,-16,10.9,-6.9,3.9,57,0.13451776649746192,0.8934010152284264
2024,"Kikuchi, Yusei",579328,Blue Jays,TOR,L,95.6,611,1258,18.5,0.48569157392686807,FF,4-Seam Fastball,13.1,-14.6,1.5,10,7.7,-8.3,-0.6,-7,0.8299492385786802,0.37055837563451777
2024,"Cease, Dylan",656302,Padres,SD,R,96.7,604,1394,19.36111111111111,0.4332855093256815,FF,4-Seam Fastball,11,-13,2.1,16,2.3,-7.4,-5.1,-69,0.9111675126903553,0.050761421319796954
2024,"Burnes, Corbin",669203,Orioles,BAL,R,95.4,602,1325,19.485294117647058,0.45433962264150946,FC,Cutter,16.6,-17.7,1.1,6,2.4,1.9,0.4,23,0.7375,0.60625
2024,"McKenzie, Triston",663474,Guardians,CLE,R,90.8,587,1113,16.863636363636363,0.527403414,FF,4-Seam Fastball,13.3,-15.7,2.4,15,1.4,-5.6,-4.2,-76,0.9543147208121827,0.081218274
2024,"Cease, Dylan",656302,Padres,SD,R,87.5,586,1394,19.36111111111111,0.42037302725968434,SL,Slider,33.8,-33.6,0.2,1,2.3,4.3,-2.1,-48,0.5033333333333333,0.2733333333333333
2024,"Heaney, Andrew",571760,Rangers,TEX,L,91.3,579,1059,15.573529411764707,0.54674221,FF,4-Seam Fastball,19.2,-18.5,-0.7,-4,15.1,-10.1,5,49,0.35786802030456855,0.9593908629441624
2024,"Wheeler, Zack",554430,Phillies,PHI,R,95,573,1384,20.352941176470587,0.41401734104046245,FF,4-Seam Fastball,15.4,-14.9,-0.5,-3,10.2,-8.4,1.8,21,0.4137055837563452,0.7360406091370558
2024,"Imanaga, Shota",684007,Cubs,CHC,L,91.8,573,1024,14.840579710144928,0.559570313,FF,4-Seam Fastball,14,-16.8,2.8,17,9.9,-8,1.8,23,0.9771573604060914,0.7360406091370558
2024,"Bibee, Tanner",676440,Guardians,CLE,R,94.7,573,1281,19.40909090909091,0.44730679156908665,FF,4-Seam Fastball,13.9,-13.9,0,0,3.7,-6.7,-3,-44,0.5050761421319797,0.1319796954314721
2024,"López, Reynaldo",625643,Braves,ATL,R,95.4,571,1019,15.43939393939394,0.5603532875368008,FF,4-Seam Fastball,13.4,-14.1,0.7,5,6.9,-7.4,-0.5,-7,0.6675126903553299,0.383248731
2024,"Ragans, Cole",666142,Royals,KC,L,96.1,562,1316,18.8,0.4270516717325228,FF,4-Seam Fastball,12.7,-13.3,0.6,4,12.9,-7.3,5.6,77,0.6522842639593909,0.9822335025380711
2024,"Houck, Tanner",656557,Red Sox,BOS,R,83,561,1335,19.347826086956523,0.4202247191011236,SL,Slider,41.3,-38.6,2.6,7,17,8.2,8.9,108,0.8,0.9866666666666667
2024,"Miller, Bryce",682243,Mariners,SEA,R,95,556,1238,17.43661971830986,0.4491114701130856,FF,4-Seam Fastball,12.2,-14.7,2.5,17,6.4,-7.9,-1.5,-19,0.9619289340101523,0.2715736040609137
2024,"Bassitt, Chris",605135,Blue Jays,TOR,R,92.6,552,1355,19.926470588235293,0.407380074,SI,Sinker,23,-23.8,-0.8,-3,16.5,-15.2,1.3,8,0.4223826714801444,0.7509025270758123
2024,"Webb, Logan",657277,Giants,SF,R,92,549,1458,21.130434782608695,0.3765432098765432,SI,Sinker,31.1,-25.4,5.7,22,15.1,-15.6,-0.5,-3,0.9711191335740073,0.30324909747292417
2024,"Jones, Jared",683003,Pirates,PIT,R,97.3,546,1121,16.485294117647058,0.4870651204281891,FF,4-Seam Fastball,11.6,-13.4,1.8,14,8.1,-8.1,0,0,0.8807106598984772,0.4593908629441624
2024,"Sánchez, Cristopher",650911,Phillies,PHI,L,94.5,539,1127,16.573529411764707,0.4782608695652174,SI,Sinker,23.2,-20.1,3.1,15,17.9,-14.3,3.6,25,0.8664259927797834,0.9963898916967509
2024,"Gausman, Kevin",592332,Blue Jays,TOR,R,93.8,537,1182,17.38235294117647,0.4543147208121827,FF,4-Seam Fastball,13.9,-15.1,1.2,8,10.7,-7.3,3.3,45,0.7766497461928934,0.868020305
2024,"Allen, Logan",671106,Guardians,CLE,L,91,533,1109,16.803030303030305,0.4806131650135257,FF,4-Seam Fastball,17.6,-17.5,-0.1,-1,8.5,-8.2,0.3,4,0.4847715736040609,0.5050761421319797
2024,"Brown, Ben",676962,Cubs,CHC,R,96.4,532,849,12.304347826086957,0.6266195524146054,FF,4-Seam Fastball,13.1,-12.8,-0.3,-2,8.8,-6.8,2,30,0.43908629441624364,0.7588832487309645
2024,"Quantrill, Cal",615698,Rockies,COL,R,93.6,531,1338,19.676470588235293,0.3968609865470852,SI,Sinker,17,-20.8,-3.8,-18,12.1,-14.3,-2.2,-16,0.10830324909747292,0.10830324909747292
2024,"Singer, Brady",663903,Royals,KC,R,83,530,1204,17.2,0.44019933554817275,SL,Slider,39.9,-38.3,1.6,4,4.3,6.7,-2.4,-36,0.71,0.24333333333333335
2024,"Falter, Bailey",663559,Pirates,PIT,L,91.7,528,1019,14.985294117647058,0.5181550539744848,FF,4-Seam Fastball,15,-16,1,6,2.6,-6.8,-4.1,-61,0.7360406091370558,0.086294416
2024,"Lynn, Lance",458681,Cardinals,STL,R,92.2,519,1239,18.492537313432837,0.4188861985472155,FF,4-Seam Fastball,19,-16.2,-2.7,-17,3.8,-7.5,-3.7,-49,0.1065989847715736,0.098984772
